wl,ir
698.781,-0.03
699.107,-0.02
699.433,-0.02
699.758,-0.02
700.084,-0.02
700.409,-0.02
700.734,-0.02
701.06,-0.02
701.385,-0.02
701.71,-0.02
702.035,-0.02
702.36,-0.01
702.685,-0.02
703.01,-0.02
703.335,-0.02
703.66,-0.02
703.985,-0.01
704.309,-0.02
704.634,-0.02
704.959,-0.02
705.283,-0.01
705.608,-0.01
705.932,-0.01
706.257,-0.01
706.581,-0.01
706.906,-0.01
707.23,-0.01
707.554,-0.01
707.878,-0.02
708.203,-0.02
708.527,-0.01
708.851,-0.01
709.175,-0.01
709.499,-0.02
709.822,-0.02
710.146,-0.02
710.47,-0.02
710.794,-0.02
711.117,-0.02
711.441,-0.02
711.765,-0.03
712.088,-0.03
712.412,-0.02
712.735,-0.03
713.058,-0.02
713.382,-0.02
713.705,-0.02
714.028,-0.02
714.351,-0.02
714.674,-0.02
714.997,-0.02
715.32,-0.01
715.643,-0.01
715.966,-0.01
716.289,-0.01
716.612,-0.01
716.935,-0.02
717.257,-0.02
717.58,-0.02
717.902,-0.02
718.225,-0.02
718.547,-0.02
718.87,-0.02
719.192,-0.02
719.515,-0.02
719.837,-0.02
720.159,-0.02
720.481,-0.02
720.803,-0.02
721.125,-0.02
721.447,-0.03
721.769,-0.03
722.091,-0.03
722.413,-0.02
722.735,-0.02
723.057,-0.02
723.378,-0.02
723.7,-0.02
724.021,-0.02
724.343,-0.02
724.664,-0.02
724.986,-0.02
725.307,-0.02
725.628,-0.02
725.95,-0.02
726.271,-0.02
726.592,-0.02
726.913,-0.02
727.234,-0.01
727.555,-0.02
727.876,-0.02
728.197,-0.02
728.518,-0.02
728.839,-0.02
729.159,-0.02
729.48,-0.02
729.801,-0.02
730.121,-0.02
730.442,-0.02
730.762,-0.02
731.083,-0.02
731.403,-0.02
731.723,-0.02
732.044,-0.01
732.364,-0.01
732.684,0
733.004,0
733.324,0
733.644,0
733.964,0
734.284,0
734.604,0
734.924,0
735.243,0
735.563,0
735.883,0
736.202,0
736.522,0
736.841,0
737.161,0
737.48,0
737.799,0
738.118,0
738.438,0
738.757,0
739.076,0
739.395,0.01
739.714,0.01
740.033,0.01
740.352,0.01
740.671,0.02
740.989,0.02
741.308,0.02
741.627,0.02
741.945,0.02
742.264,0.03
742.582,0.03
742.901,0.03
743.219,0.03
743.537,0.04
743.856,0.04
744.174,0.04
744.492,0.05
744.81,0.05
745.128,0.06
745.446,0.06
745.764,0.06
746.082,0.06
746.4,0.07
746.718,0.07
747.036,0.07
747.353,0.07
747.671,0.07
747.989,0.07
748.306,0.07
748.624,0.07
748.941,0.07
749.258,0.07
749.576,0.06
749.893,0.06
750.21,0.06
